strategy_name,period,total_return_pct,buy_hold_return_pct,max_drawdown_pct,sharpe_ratio,win_rate_pct,num_trades,profit_factor,avg_trade_return_pct,time_in_market_pct
1_EMA_Cross_12_26,bull_2016_2017,1734.73,4400.04,-28.78,2.96,39.35,277,2.97,1.39,61.49
2_EMA_Cross_21_55,bull_2016_2017,1800.18,4400.04,-32.69,2.95,43.08,130,3.66,2.86,64.34
3_RSI_Pullback,bull_2016_2017,124.27,4400.04,-37.74,1.39,40.72,194,1.88,0.69,26.46
4_Breakout_20H,bull_2016_2017,219.32,4400.04,-27.83,1.7,42.89,415,2.04,0.52,26.49
5_MACD_Cross,bull_2016_2017,252.97,4400.04,-46.67,1.51,40.89,653,1.65,0.45,51.16
6_BB_Squeeze_Break,bull_2016_2017,572.92,4400.04,-18.27,2.77,50.99,202,3.25,1.23,22.56
7_ADX_DI_Trend,bull_2016_2017,346.98,4400.04,-32.35,1.9,47.28,569,2.14,0.5,36.56
8_Triple_EMA_Pullback,bull_2016_2017,238.1,4400.04,-17.57,2.4,38.46,117,3.99,1.33,22.84
9_Momentum_ROC,bull_2016_2017,221.89,4400.04,-28.91,1.68,46.3,257,2.05,0.72,19.4
10_Supertrend_Bull,bull_2016_2017,2662.0,4400.04,-26.92,3.51,54.37,206,3.62,1.98,55.15
1_EMA_Cross_12_26,bull_2020_2021,216.33,521.21,-38.91,2.07,37.2,164,1.96,1.02,57.99
2_EMA_Cross_21_55,bull_2020_2021,308.16,521.21,-26.34,2.46,38.67,75,2.61,2.43,60.38
3_RSI_Pullback,bull_2020_2021,78.93,521.21,-27.57,1.58,35.71,112,1.86,0.84,25.26
4_Breakout_20H,bull_2020_2021,47.48,521.21,-23.16,1.1,41.36,220,1.64,0.41,24.06
5_MACD_Cross,bull_2020_2021,69.95,521.21,-42.76,1.13,37.9,372,1.43,0.4,49.09
6_BB_Squeeze_Break,bull_2020_2021,-5.99,521.21,-40.31,0.0,36.72,128,1.22,0.21,20.31
7_ADX_DI_Trend,bull_2020_2021,90.23,521.21,-36.46,1.44,40.8,326,1.68,0.44,38.13
8_Triple_EMA_Pullback,bull_2020_2021,-14.67,521.21,-25.78,-0.53,18.18,44,0.88,-0.11,9.32
9_Momentum_ROC,bull_2020_2021,58.94,521.21,-32.31,1.25,37.5,216,1.62,0.46,25.33
10_Supertrend_Bull,bull_2020_2021,106.51,521.21,-38.81,1.48,49.54,109,1.71,1.01,52.54
