strategy,stop_loss,stop_kind,period,return_pct,max_dd_pct,sharpe,pf,win_rate_pct,trades,stop_exits
1_EMA_Cross_12_26,sin_SL,none,bull_2016_2017,1734.73,-28.78,2.96,2.97,39.35,277,0
1_EMA_Cross_12_26,fixed_3pct,fixed_pct,bull_2016_2017,-100.54,-100.48,0.61,1.44,37.67,292,36
1_EMA_Cross_12_26,fixed_5pct,fixed_pct,bull_2016_2017,-100.66,-100.58,0.72,1.52,38.25,285,18
1_EMA_Cross_12_26,fixed_8pct,fixed_pct,bull_2016_2017,-100.85,-100.69,0.85,1.63,38.57,280,9
1_EMA_Cross_12_26,fixed_10pct,fixed_pct,bull_2016_2017,-101.17,-100.9,1.03,1.77,38.85,278,4
1_EMA_Cross_12_26,fixed_12pct,fixed_pct,bull_2016_2017,-101.43,-100.9,1.13,1.86,39.21,278,3
1_EMA_Cross_12_26,fixed_15pct,fixed_pct,bull_2016_2017,-101.53,-100.94,1.17,1.9,39.21,278,2
1_EMA_Cross_12_26,fixed_20pct,fixed_pct,bull_2016_2017,-101.53,-100.94,1.17,1.9,39.21,278,2
1_EMA_Cross_12_26,trail_5pct,trail_pct,bull_2016_2017,-100.03,-100.06,-0.85,0.86,35.14,387,140
1_EMA_Cross_12_26,trail_8pct,trail_pct,bull_2016_2017,-100.18,-100.25,0.04,1.15,37.58,314,50
1_EMA_Cross_12_26,trail_10pct,trail_pct,bull_2016_2017,-100.44,-100.46,0.5,1.38,38.44,294,24
1_EMA_Cross_12_26,trail_12pct,trail_pct,bull_2016_2017,-100.51,-100.54,0.58,1.44,38.68,287,15
1_EMA_Cross_12_26,trail_15pct,trail_pct,bull_2016_2017,-100.61,-100.59,0.67,1.5,38.73,284,10
1_EMA_Cross_12_26,trail_20pct,trail_pct,bull_2016_2017,-100.78,-100.68,0.81,1.6,39.01,282,7
1_EMA_Cross_12_26,atr_fix_1.5x,atr_fixed,bull_2016_2017,-100.25,-100.26,0.19,1.26,30.59,389,206
1_EMA_Cross_12_26,atr_fix_2.0x,atr_fixed,bull_2016_2017,-100.38,-100.38,0.43,1.36,34.53,333,128
1_EMA_Cross_12_26,atr_fix_2.5x,atr_fixed,bull_2016_2017,-100.56,-100.54,0.62,1.47,36.57,309,86
1_EMA_Cross_12_26,atr_fix_3.0x,atr_fixed,bull_2016_2017,-100.68,-100.65,0.73,1.54,37.41,294,54
1_EMA_Cross_12_26,atr_fix_4.0x,atr_fixed,bull_2016_2017,-100.73,-100.69,0.77,1.56,38.38,284,30
1_EMA_Cross_12_26,atr_trail_2.0x,atr_trail,bull_2016_2017,-100.0,-100.0,-6.31,0.3,28.33,1419,1290
1_EMA_Cross_12_26,atr_trail_2.5x,atr_trail,bull_2016_2017,-100.0,-100.0,-4.02,0.43,31.66,979,827
1_EMA_Cross_12_26,atr_trail_3.0x,atr_trail,bull_2016_2017,-100.0,-100.0,-2.75,0.55,33.6,759,595
1_EMA_Cross_12_26,atr_trail_4.0x,atr_trail,bull_2016_2017,-100.02,-100.02,-1.17,0.79,34.6,526,326
1_EMA_Cross_12_26,chandelier_2.0x,chandelier,bull_2016_2017,-100.0,-100.0,-6.4,0.29,27.29,1367,1237
1_EMA_Cross_12_26,chandelier_3.0x,chandelier,bull_2016_2017,-100.0,-100.0,-2.74,0.54,32.43,737,557
1_EMA_Cross_12_26,breakeven_5pct,breakeven,bull_2016_2017,-100.63,-100.51,0.69,1.52,38.19,288,20
1_EMA_Cross_12_26,breakeven_8pct,breakeven,bull_2016_2017,-100.73,-100.59,0.77,1.57,38.52,283,13
1_EMA_Cross_12_26,breakeven_10pct,breakeven,bull_2016_2017,-100.73,-100.59,0.77,1.57,38.52,283,13
1_EMA_Cross_12_26,fix_low20_b0.5,fixed_swing,bull_2016_2017,-100.67,-100.6,0.72,1.53,38.3,282,23
1_EMA_Cross_12_26,trail_low20_b0.5,trail_swing,bull_2016_2017,1734.73,-28.78,2.96,2.97,39.35,277,0
1_EMA_Cross_12_26,break_low5,break_low,bull_2016_2017,-100.57,-100.54,0.64,1.47,37.63,287,45
1_EMA_Cross_12_26,entry_low_b0.5,entry_low,bull_2016_2017,-100.26,-100.27,0.22,1.26,31.48,359,150
1_EMA_Cross_12_26,trade_low_b0.5,trade_swing,bull_2016_2017,1734.73,-28.78,2.96,2.97,39.35,277,0
1_EMA_Cross_12_26,time_48h,time_stop,bull_2016_2017,1698.68,-28.78,2.94,2.94,39.35,277,3
1_EMA_Cross_12_26,time_72h,time_stop,bull_2016_2017,1711.82,-28.78,2.94,2.95,39.35,277,1
1_EMA_Cross_12_26,time_120h,time_stop,bull_2016_2017,1734.73,-28.78,2.96,2.97,39.35,277,0
2_EMA_Cross_21_55,sin_SL,none,bull_2016_2017,1800.18,-32.69,2.95,3.66,43.08,130,0
2_EMA_Cross_21_55,fixed_3pct,fixed_pct,bull_2016_2017,538.44,-58.02,1.85,2.12,40.27,149,34
2_EMA_Cross_21_55,fixed_5pct,fixed_pct,bull_2016_2017,749.72,-54.88,2.09,2.4,43.17,139,16
2_EMA_Cross_21_55,fixed_8pct,fixed_pct,bull_2016_2017,933.1,-53.97,2.27,2.64,42.86,133,6
2_EMA_Cross_21_55,fixed_10pct,fixed_pct,bull_2016_2017,1152.89,-51.27,2.46,2.89,43.18,132,3
2_EMA_Cross_21_55,fixed_12pct,fixed_pct,bull_2016_2017,1152.89,-51.27,2.46,2.89,43.18,132,3
2_EMA_Cross_21_55,fixed_15pct,fixed_pct,bull_2016_2017,1338.98,-44.03,2.59,3.12,43.51,131,2
2_EMA_Cross_21_55,fixed_20pct,fixed_pct,bull_2016_2017,1565.05,-35.23,2.76,3.38,43.51,131,1
2_EMA_Cross_21_55,trail_5pct,trail_pct,bull_2016_2017,-80.47,-83.9,-0.88,0.88,39.49,276,173
2_EMA_Cross_21_55,trail_8pct,trail_pct,bull_2016_2017,37.36,-66.5,0.59,1.33,38.2,178,63
2_EMA_Cross_21_55,trail_10pct,trail_pct,bull_2016_2017,187.61,-59.16,1.17,1.65,41.67,156,33
2_EMA_Cross_21_55,trail_12pct,trail_pct,bull_2016_2017,335.8,-51.47,1.5,1.95,41.1,146,20
2_EMA_Cross_21_55,trail_15pct,trail_pct,bull_2016_2017,405.16,-51.27,1.62,2.05,41.43,140,13
2_EMA_Cross_21_55,trail_20pct,trail_pct,bull_2016_2017,677.75,-37.61,1.99,2.5,42.34,137,7
