strategy,stop_loss,stop_kind,avg_return,avg_dd,avg_sharpe,avg_pf,total_trades,total_stop_exits,score
10_Supertrend_Bull,time_120h,time_stop,1384.26,-32.86,2.5,2.67,313,0,348.29
10_Supertrend_Bull,trade_low_b0.5,trade_swing,1384.26,-32.86,2.5,2.67,313,0,348.29
10_Supertrend_Bull,sin_SL,none,1384.26,-32.86,2.5,2.67,313,0,348.29
10_Supertrend_Bull,time_72h,time_stop,1377.18,-32.86,2.5,2.66,314,1,346.51
10_Supertrend_Bull,trail_low20_b0.5,trail_swing,1371.42,-32.86,2.49,2.67,314,2,345.06
10_Supertrend_Bull,time_48h,time_stop,1271.92,-32.86,2.43,2.58,324,23,319.87
10_Supertrend_Bull,fixed_20pct,fixed_pct,1199.7,-33.75,2.37,2.54,313,1,301.28
2_EMA_Cross_21_55,trail_low20_b0.5,trail_swing,1057.66,-29.52,2.72,3.16,206,1,268.88
2_EMA_Cross_21_55,time_120h,time_stop,1054.17,-29.52,2.7,3.14,205,1,267.93
2_EMA_Cross_21_55,sin_SL,none,1054.17,-29.52,2.7,3.14,205,0,267.93
2_EMA_Cross_21_55,trade_low_b0.5,trade_swing,1054.17,-29.52,2.7,3.14,205,0,267.93
2_EMA_Cross_21_55,time_72h,time_stop,1019.1,-29.92,2.67,3.08,213,14,258.86
10_Supertrend_Bull,fixed_15pct,fixed_pct,988.05,-33.75,2.24,2.38,313,2,247.75
1_EMA_Cross_12_26,trail_low20_b0.5,trail_swing,978.56,-33.84,2.53,2.48,440,1,246.6
10_Supertrend_Bull,fixed_10pct,fixed_pct,984.6,-34.76,2.22,2.37,313,3,246.44
10_Supertrend_Bull,fixed_12pct,fixed_pct,984.6,-34.76,2.22,2.37,313,3,246.44
1_EMA_Cross_12_26,time_120h,time_stop,975.53,-33.84,2.51,2.48,440,0,245.78
1_EMA_Cross_12_26,sin_SL,none,975.53,-33.84,2.51,2.48,440,0,245.78
1_EMA_Cross_12_26,trade_low_b0.5,trade_swing,975.53,-33.84,2.51,2.48,440,0,245.78
1_EMA_Cross_12_26,time_72h,time_stop,964.08,-33.84,2.5,2.47,440,1,242.87
1_EMA_Cross_12_26,time_48h,time_stop,957.5,-33.84,2.5,2.46,440,3,241.22
10_Supertrend_Bull,trail_20pct,trail_pct,965.39,-37.07,2.24,2.34,315,3,241.06
2_EMA_Cross_21_55,fixed_20pct,fixed_pct,936.6,-30.78,2.61,3.0,206,1,237.67
2_EMA_Cross_21_55,time_48h,time_stop,882.1,-30.1,2.56,2.89,232,39,223.98
2_EMA_Cross_21_55,fixed_15pct,fixed_pct,823.57,-35.18,2.52,2.86,206,2,207.66
10_Supertrend_Bull,fixed_8pct,fixed_pct,759.52,-39.94,2.03,2.15,318,11,187.71
2_EMA_Cross_21_55,fixed_12pct,fixed_pct,730.53,-38.8,2.46,2.75,207,3,182.97
2_EMA_Cross_21_55,fixed_10pct,fixed_pct,730.53,-38.8,2.46,2.75,207,3,182.97
10_Supertrend_Bull,breakeven_10pct,breakeven,714.24,-41.78,2.0,2.12,319,12,175.72
10_Supertrend_Bull,breakeven_8pct,breakeven,685.51,-41.89,1.98,2.09,319,14,168.38
2_EMA_Cross_21_55,fixed_8pct,fixed_pct,611.5,-40.16,2.33,2.58,208,7,152.14
10_Supertrend_Bull,atr_fix_4.0x,atr_fixed,604.41,-37.39,1.9,2.03,326,50,149.08
10_Supertrend_Bull,trail_15pct,trail_pct,600.71,-41.39,1.98,2.07,317,7,147.32
10_Supertrend_Bull,fix_low20_b0.5,fixed_swing,596.5,-39.86,1.88,2.03,321,28,146.3
10_Supertrend_Bull,breakeven_5pct,breakeven,564.72,-46.39,1.73,1.96,332,32,135.71
10_Supertrend_Bull,trail_12pct,trail_pct,524.14,-42.39,1.87,1.98,321,13,127.36
2_EMA_Cross_21_55,breakeven_10pct,breakeven,519.28,-47.08,2.09,2.34,212,12,125.88
2_EMA_Cross_21_55,atr_fix_4.0x,atr_fixed,503.62,-41.12,2.2,2.42,226,41,124.24
2_EMA_Cross_21_55,fixed_5pct,fixed_pct,502.84,-41.94,2.16,2.38,216,22,123.65
2_EMA_Cross_21_55,fix_low20_b0.5,fixed_swing,496.96,-41.21,2.2,2.42,211,22,122.59
2_EMA_Cross_21_55,breakeven_8pct,breakeven,504.65,-47.08,2.06,2.32,215,16,122.1
2_EMA_Cross_21_55,trail_20pct,trail_pct,472.04,-31.98,2.13,2.5,213,8,118.86
10_Supertrend_Bull,fixed_5pct,fixed_pct,477.07,-43.54,1.72,1.88,329,32,114.55
10_Supertrend_Bull,atr_fix_3.0x,atr_fixed,470.48,-40.02,1.63,1.84,359,106,113.57
2_EMA_Cross_21_55,atr_fix_3.0x,atr_fixed,443.66,-40.43,2.11,2.32,251,75,109.04
10_Supertrend_Bull,break_low5,break_low,445.68,-47.68,1.48,1.78,348,81,104.4
10_Supertrend_Bull,trail_10pct,trail_pct,411.74,-43.92,1.68,1.87,326,22,97.91
2_EMA_Cross_21_55,breakeven_5pct,breakeven,403.97,-49.35,1.9,2.15,233,35,95.44
