strategy,stop_config,period,return_pct,buy_hold_pct,max_dd_pct,sharpe,pf,win_rate_pct,trades,stop_exits,signal_exits,time_in_market_pct
1_EMA_Cross_12_26,sin_SL,bull_2016_2017,1734.73,4400.04,-28.78,2.96,2.97,39.35,277,0,0,61.49
1_EMA_Cross_12_26,fix_low3_b0.5,bull_2016_2017,-100.47,4400.04,-100.46,0.53,1.4,36.99,292,63,228,61.34
1_EMA_Cross_12_26,fix_low5_b0.5,bull_2016_2017,-100.61,4400.04,-100.55,0.67,1.49,37.89,285,38,246,61.42
1_EMA_Cross_12_26,fix_low5_b1,bull_2016_2017,-100.65,4400.04,-100.58,0.71,1.52,38.3,282,25,256,61.44
1_EMA_Cross_12_26,fix_low8_b0.5,bull_2016_2017,-100.66,4400.04,-100.59,0.72,1.52,38.3,282,24,257,61.45
1_EMA_Cross_12_26,fix_low10_b0.5,bull_2016_2017,-100.66,4400.04,-100.59,0.72,1.52,38.3,282,24,257,61.45
1_EMA_Cross_12_26,fix_low20_b0.5,bull_2016_2017,-100.67,4400.04,-100.6,0.72,1.53,38.3,282,23,258,61.45
1_EMA_Cross_12_26,fix_low50_b0.5,bull_2016_2017,-100.71,4400.04,-100.63,0.75,1.55,38.3,282,19,262,61.45
1_EMA_Cross_12_26,trail_low3_b0.5,bull_2016_2017,1734.73,4400.04,-28.78,2.96,2.97,39.35,277,0,276,61.49
1_EMA_Cross_12_26,trail_low5_b0.5,bull_2016_2017,1734.73,4400.04,-28.78,2.96,2.97,39.35,277,0,276,61.49
1_EMA_Cross_12_26,trail_low8_b0.5,bull_2016_2017,1734.73,4400.04,-28.78,2.96,2.97,39.35,277,0,276,61.49
1_EMA_Cross_12_26,trail_low10_b0.5,bull_2016_2017,1734.73,4400.04,-28.78,2.96,2.97,39.35,277,0,276,61.49
1_EMA_Cross_12_26,trail_low20_b0.5,bull_2016_2017,1734.73,4400.04,-28.78,2.96,2.97,39.35,277,0,276,61.49
1_EMA_Cross_12_26,trade_low_b0.5,bull_2016_2017,1734.73,4400.04,-28.78,2.96,2.97,39.35,277,0,276,61.49
1_EMA_Cross_12_26,trade_low_b1,bull_2016_2017,1734.73,4400.04,-28.78,2.96,2.97,39.35,277,0,276,61.49
1_EMA_Cross_12_26,entry_low_b0.5,bull_2016_2017,-100.26,4400.04,-100.27,0.22,1.26,31.48,359,150,208,60.88
