strategy,stop_config,avg_return,avg_dd,avg_sharpe,avg_pf,total_trades,total_stop_exits,composite
10_Supertrend_Bull,trail_low8_b0.5,1384.26,-32.86,2.5,2.67,313,0,416.15
10_Supertrend_Bull,trade_low_b1,1384.26,-32.86,2.5,2.67,313,0,416.15
10_Supertrend_Bull,trail_low3_b0.5,1384.26,-32.86,2.5,2.67,313,0,416.15
10_Supertrend_Bull,trail_low5_b0.5,1384.26,-32.86,2.5,2.67,313,0,416.15
10_Supertrend_Bull,trade_low_b0.5,1384.26,-32.86,2.5,2.67,313,0,416.15
10_Supertrend_Bull,trail_low10_b0.5,1384.26,-32.86,2.5,2.67,313,0,416.15
10_Supertrend_Bull,sin_SL,1384.26,-32.86,2.5,2.67,313,0,416.15
10_Supertrend_Bull,trail_low20_b0.5,1371.42,-32.86,2.49,2.67,314,2,412.28
2_EMA_Cross_21_55,trail_low20_b0.5,1057.66,-29.52,2.72,3.16,206,1,319.98
2_EMA_Cross_21_55,trail_low10_b0.5,1054.17,-29.52,2.7,3.14,205,0,318.87
2_EMA_Cross_21_55,trade_low_b1,1054.17,-29.52,2.7,3.14,205,0,318.87
2_EMA_Cross_21_55,trade_low_b0.5,1054.17,-29.52,2.7,3.14,205,0,318.87
2_EMA_Cross_21_55,trail_low8_b0.5,1054.17,-29.52,2.7,3.14,205,0,318.87
2_EMA_Cross_21_55,trail_low3_b0.5,1054.17,-29.52,2.7,3.14,205,0,318.87
2_EMA_Cross_21_55,trail_low5_b0.5,1054.17,-29.52,2.7,3.14,205,0,318.87
2_EMA_Cross_21_55,sin_SL,1054.17,-29.52,2.7,3.14,205,0,318.87
1_EMA_Cross_12_26,trail_low20_b0.5,978.56,-33.84,2.53,2.48,440,1,294.18
1_EMA_Cross_12_26,trail_low10_b0.5,975.53,-33.84,2.51,2.48,440,0,293.23
1_EMA_Cross_12_26,trail_low5_b0.5,975.53,-33.84,2.51,2.48,440,0,293.23
1_EMA_Cross_12_26,trail_low3_b0.5,975.53,-33.84,2.51,2.48,440,0,293.23
1_EMA_Cross_12_26,trade_low_b0.5,975.53,-33.84,2.51,2.48,440,0,293.23
1_EMA_Cross_12_26,trade_low_b1,975.53,-33.84,2.51,2.48,440,0,293.23
1_EMA_Cross_12_26,sin_SL,975.53,-33.84,2.51,2.48,440,0,293.23
1_EMA_Cross_12_26,trail_low8_b0.5,975.53,-33.84,2.51,2.48,440,0,293.23
10_Supertrend_Bull,fix_low50_b0.5,616.14,-39.77,1.91,2.05,320,23,181.86
10_Supertrend_Bull,fix_low20_b0.5,596.5,-39.86,1.88,2.03,321,28,175.86
2_EMA_Cross_21_55,fix_low50_b0.5,564.58,-40.5,2.28,2.52,210,15,167.6
10_Supertrend_Bull,fix_low10_b0.5,568.56,-41.78,1.8,1.98,324,40,166.71
10_Supertrend_Bull,fix_low8_b0.5,551.78,-42.83,1.74,1.94,326,46,161.2
10_Supertrend_Bull,fix_low5_b1,546.64,-43.74,1.7,1.92,327,41,159.31
2_EMA_Cross_21_55,fix_low10_b0.5,527.43,-37.16,2.2,2.42,218,38,157.0
10_Supertrend_Bull,pivot_b1,530.56,-43.56,1.68,1.9,329,42,154.45
2_EMA_Cross_21_55,pivot_b1,499.3,-41.0,2.11,2.31,228,49,147.25
2_EMA_Cross_21_55,fix_low20_b0.5,496.96,-41.21,2.2,2.42,211,22,146.85
2_EMA_Cross_21_55,fix_low8_b0.5,488.02,-37.74,2.09,2.29,226,50,144.62
2_EMA_Cross_21_55,fix_low5_b1,487.8,-39.02,2.1,2.29,227,50,144.26
10_Supertrend_Bull,fix_low5_b0.5,496.46,-45.04,1.58,1.84,339,69,143.51
10_Supertrend_Bull,pivot_b0.5,488.16,-44.24,1.6,1.84,338,64,141.3
10_Supertrend_Bull,break_low8,475.22,-44.71,1.58,1.86,348,92,137.25
10_Supertrend_Bull,fix_low3_b0.5,394.82,-48.24,1.4,1.72,356,95,111.64
2_EMA_Cross_21_55,break_low8,368.84,-42.71,1.89,2.12,270,115,106.92
2_EMA_Cross_21_55,pivot_b0.5,370.92,-46.12,1.88,2.09,247,72,106.63
2_EMA_Cross_21_55,fix_low5_b0.5,321.88,-45.18,1.78,2.0,250,86,91.79
